After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.32, test_acc = 0.1372
After round 2, test_loss = 2.3068, test_acc = 0.1355
After round 3, test_loss = 2.2944, test_acc = 0.1467
After round 4, test_loss = 2.2718, test_acc = 0.2292
After round 5, test_loss = 2.2548, test_acc = 0.3043
After round 6, test_loss = 2.2399, test_acc = 0.3685
After round 7, test_loss = 2.2306, test_acc = 0.3146
After round 8, test_loss = 2.2118, test_acc = 0.4256
After round 9, test_loss = 2.1989, test_acc = 0.4583
After round 10, test_loss = 2.1886, test_acc = 0.4195
After round 11, test_loss = 2.1747, test_acc = 0.4813
After round 12, test_loss = 2.167, test_acc = 0.4503
After round 13, test_loss = 2.1486, test_acc = 0.4463
After round 14, test_loss = 2.1389, test_acc = 0.4477
After round 15, test_loss = 2.1328, test_acc = 0.432
After round 16, test_loss = 2.1213, test_acc = 0.4526
After round 17, test_loss = 2.1048, test_acc = 0.5024
After round 18, test_loss = 2.0901, test_acc = 0.5225
After round 19, test_loss = 2.0709, test_acc = 0.5233
After round 20, test_loss = 2.0633, test_acc = 0.5249
After round 21, test_loss = 2.0492, test_acc = 0.5314
After round 22, test_loss = 2.0338, test_acc = 0.5327
After round 23, test_loss = 2.0199, test_acc = 0.5358
After round 24, test_loss = 2.0005, test_acc = 0.5425
After round 25, test_loss = 1.9886, test_acc = 0.5355
After round 26, test_loss = 1.9819, test_acc = 0.5436
After round 27, test_loss = 1.9634, test_acc = 0.5525
After round 28, test_loss = 1.9608, test_acc = 0.5513
After round 29, test_loss = 1.9388, test_acc = 0.5562
After round 30, test_loss = 1.9413, test_acc = 0.5571
After round 31, test_loss = 1.9058, test_acc = 0.5615
After round 32, test_loss = 1.915, test_acc = 0.5622
After round 33, test_loss = 1.8954, test_acc = 0.5648
After round 34, test_loss = 1.8887, test_acc = 0.5705
After round 35, test_loss = 1.8818, test_acc = 0.5718
After round 36, test_loss = 1.8789, test_acc = 0.5693
After round 37, test_loss = 1.8567, test_acc = 0.569
After round 38, test_loss = 1.8509, test_acc = 0.5657
After round 39, test_loss = 1.838, test_acc = 0.5753
After round 40, test_loss = 1.835, test_acc = 0.5711
After round 41, test_loss = 1.8278, test_acc = 0.5754
After round 42, test_loss = 1.8222, test_acc = 0.5767
After round 43, test_loss = 1.8069, test_acc = 0.5831
After round 44, test_loss = 1.806, test_acc = 0.5805
After round 45, test_loss = 1.7996, test_acc = 0.5831
After round 46, test_loss = 1.7751, test_acc = 0.5749
After round 47, test_loss = 1.7746, test_acc = 0.583
After round 48, test_loss = 1.7713, test_acc = 0.5849
After round 49, test_loss = 1.7638, test_acc = 0.5874
After round 50, test_loss = 1.7469, test_acc = 0.594
After round 51, test_loss = 1.7466, test_acc = 0.5884
After round 52, test_loss = 1.7399, test_acc = 0.59
After round 53, test_loss = 1.7328, test_acc = 0.59
After round 54, test_loss = 1.7054, test_acc = 0.5857
After round 55, test_loss = 1.7187, test_acc = 0.5908
After round 56, test_loss = 1.7129, test_acc = 0.5916
After round 57, test_loss = 1.7101, test_acc = 0.5921
After round 58, test_loss = 1.7037, test_acc = 0.5918
After round 59, test_loss = 1.6982, test_acc = 0.5931
After round 60, test_loss = 1.6795, test_acc = 0.5951
After round 61, test_loss = 1.6769, test_acc = 0.5976
After round 62, test_loss = 1.6745, test_acc = 0.6002
After round 63, test_loss = 1.6623, test_acc = 0.6004
After round 64, test_loss = 1.651, test_acc = 0.6017
After round 65, test_loss = 1.6473, test_acc = 0.6103
After round 66, test_loss = 1.6421, test_acc = 0.6074
After round 67, test_loss = 1.6418, test_acc = 0.6161
After round 68, test_loss = 1.6375, test_acc = 0.6093
After round 69, test_loss = 1.6376, test_acc = 0.6147
After round 70, test_loss = 1.6299, test_acc = 0.6256
After round 71, test_loss = 1.6245, test_acc = 0.6369
After round 72, test_loss = 1.6192, test_acc = 0.6195
After round 73, test_loss = 1.6131, test_acc = 0.6345
After round 74, test_loss = 1.6126, test_acc = 0.6354
After round 75, test_loss = 1.6122, test_acc = 0.637
After round 76, test_loss = 1.609, test_acc = 0.6245
After round 77, test_loss = 1.6086, test_acc = 0.6362
After round 78, test_loss = 1.5862, test_acc = 0.6191
After round 79, test_loss = 1.5801, test_acc = 0.6378
After round 80, test_loss = 1.585, test_acc = 0.6399
After round 81, test_loss = 1.5813, test_acc = 0.6318
After round 82, test_loss = 1.5804, test_acc = 0.6269
After round 83, test_loss = 1.5623, test_acc = 0.6257
After round 84, test_loss = 1.5668, test_acc = 0.6194
After round 85, test_loss = 1.5631, test_acc = 0.6297
After round 86, test_loss = 1.5502, test_acc = 0.6211
After round 87, test_loss = 1.5419, test_acc = 0.6264
After round 88, test_loss = 1.5414, test_acc = 0.6206
After round 89, test_loss = 1.51, test_acc = 0.6178
After round 90, test_loss = 1.5075, test_acc = 0.6161
After round 91, test_loss = 1.5067, test_acc = 0.6293
After round 92, test_loss = 1.4893, test_acc = 0.6206
After round 93, test_loss = 1.4876, test_acc = 0.6247
After round 94, test_loss = 1.4847, test_acc = 0.6284
After round 95, test_loss = 1.485, test_acc = 0.633
After round 96, test_loss = 1.4817, test_acc = 0.6303
After round 97, test_loss = 1.4713, test_acc = 0.6229
After round 98, test_loss = 1.4642, test_acc = 0.6284
After round 99, test_loss = 1.445, test_acc = 0.6244
After round 100, test_loss = 1.454, test_acc = 0.6227
After round 101, test_loss = 1.4552, test_acc = 0.6222
After round 102, test_loss = 1.4414, test_acc = 0.6307
After round 103, test_loss = 1.4415, test_acc = 0.624
After round 104, test_loss = 1.4391, test_acc = 0.6312
After round 105, test_loss = 1.4213, test_acc = 0.6256
After round 106, test_loss = 1.4322, test_acc = 0.6329
After round 107, test_loss = 1.4316, test_acc = 0.6434
After round 108, test_loss = 1.4343, test_acc = 0.6267
After round 109, test_loss = 1.4188, test_acc = 0.6264
After round 110, test_loss = 1.4119, test_acc = 0.6238
After round 111, test_loss = 1.4142, test_acc = 0.6213
After round 112, test_loss = 1.4085, test_acc = 0.6321
After round 113, test_loss = 1.4112, test_acc = 0.6271
After round 114, test_loss = 1.404, test_acc = 0.6368
After round 115, test_loss = 1.4049, test_acc = 0.6378
After round 116, test_loss = 1.4079, test_acc = 0.6284
After round 117, test_loss = 1.3925, test_acc = 0.6284
After round 118, test_loss = 1.3967, test_acc = 0.6393
After round 119, test_loss = 1.3984, test_acc = 0.6322
After round 120, test_loss = 1.3759, test_acc = 0.6476
After round 121, test_loss = 1.3839, test_acc = 0.6316
After round 122, test_loss = 1.3773, test_acc = 0.6459
After round 123, test_loss = 1.3797, test_acc = 0.6453
After round 124, test_loss = 1.3662, test_acc = 0.6398
After round 125, test_loss = 1.3598, test_acc = 0.6375
After round 126, test_loss = 1.3684, test_acc = 0.6595
After round 127, test_loss = 1.3636, test_acc = 0.663
After round 128, test_loss = 1.3477, test_acc = 0.6667
After round 129, test_loss = 1.3455, test_acc = 0.6535
After round 130, test_loss = 1.342, test_acc = 0.666
After round 131, test_loss = 1.3149, test_acc = 0.656
After round 132, test_loss = 1.3316, test_acc = 0.6641
After round 133, test_loss = 1.332, test_acc = 0.6537
After round 134, test_loss = 1.3341, test_acc = 0.6478
After round 135, test_loss = 1.3164, test_acc = 0.6631
After round 136, test_loss = 1.3246, test_acc = 0.6692
After round 137, test_loss = 1.326, test_acc = 0.6737
After round 138, test_loss = 1.3195, test_acc = 0.6723
After round 139, test_loss = 1.3221, test_acc = 0.6659
After round 140, test_loss = 1.3176, test_acc = 0.6727
After round 141, test_loss = 1.3057, test_acc = 0.6648
After round 142, test_loss = 1.3058, test_acc = 0.6575
After round 143, test_loss = 1.2977, test_acc = 0.6554
After round 144, test_loss = 1.2992, test_acc = 0.649
After round 145, test_loss = 1.2969, test_acc = 0.6616
After round 146, test_loss = 1.296, test_acc = 0.645
After round 147, test_loss = 1.2853, test_acc = 0.6651
After round 148, test_loss = 1.29, test_acc = 0.6574
After round 149, test_loss = 1.2888, test_acc = 0.6641
After round 150, test_loss = 1.2687, test_acc = 0.6543
After round 151, test_loss = 1.2791, test_acc = 0.6699
After round 152, test_loss = 1.2747, test_acc = 0.6568
After round 153, test_loss = 1.2684, test_acc = 0.6693
After round 154, test_loss = 1.2721, test_acc = 0.6593
After round 155, test_loss = 1.2699, test_acc = 0.6704
After round 156, test_loss = 1.2738, test_acc = 0.6589
After round 157, test_loss = 1.2743, test_acc = 0.6604
After round 158, test_loss = 1.2598, test_acc = 0.6718
After round 159, test_loss = 1.2652, test_acc = 0.6631
After round 160, test_loss = 1.2455, test_acc = 0.6619
After round 161, test_loss = 1.2605, test_acc = 0.675
After round 162, test_loss = 1.2611, test_acc = 0.6665
After round 163, test_loss = 1.2619, test_acc = 0.6724
After round 164, test_loss = 1.2508, test_acc = 0.6712
After round 165, test_loss = 1.2527, test_acc = 0.6765
After round 166, test_loss = 1.244, test_acc = 0.6746
After round 167, test_loss = 1.2496, test_acc = 0.6776
After round 168, test_loss = 1.2518, test_acc = 0.6651
After round 169, test_loss = 1.2433, test_acc = 0.6785
After round 170, test_loss = 1.2443, test_acc = 0.6689
After round 171, test_loss = 1.2469, test_acc = 0.6645
After round 172, test_loss = 1.235, test_acc = 0.6749
After round 173, test_loss = 1.2363, test_acc = 0.6799
After round 174, test_loss = 1.2293, test_acc = 0.682
After round 175, test_loss = 1.238, test_acc = 0.6719
After round 176, test_loss = 1.2376, test_acc = 0.6733
After round 177, test_loss = 1.21, test_acc = 0.6699
After round 178, test_loss = 1.2332, test_acc = 0.6685
After round 179, test_loss = 1.2314, test_acc = 0.677
After round 180, test_loss = 1.2323, test_acc = 0.6794
After round 181, test_loss = 1.2261, test_acc = 0.6816
After round 182, test_loss = 1.2266, test_acc = 0.686
After round 183, test_loss = 1.2163, test_acc = 0.69
After round 184, test_loss = 1.2104, test_acc = 0.6946
After round 185, test_loss = 1.2173, test_acc = 0.6947
After round 186, test_loss = 1.2119, test_acc = 0.6865
After round 187, test_loss = 1.2137, test_acc = 0.681
After round 188, test_loss = 1.1841, test_acc = 0.6832
After round 189, test_loss = 1.2074, test_acc = 0.6872
After round 190, test_loss = 1.1927, test_acc = 0.6968
After round 191, test_loss = 1.1958, test_acc = 0.6951
After round 192, test_loss = 1.1733, test_acc = 0.6862
After round 193, test_loss = 1.173, test_acc = 0.7083
After round 194, test_loss = 1.1777, test_acc = 0.6904
After round 195, test_loss = 1.176, test_acc = 0.6996
After round 196, test_loss = 1.1777, test_acc = 0.6913
After round 197, test_loss = 1.1786, test_acc = 0.6962
After round 198, test_loss = 1.1809, test_acc = 0.687
After round 199, test_loss = 1.1813, test_acc = 0.6931
After round 200, test_loss = 1.1824, test_acc = 0.6859
After round 201, test_loss = 1.1816, test_acc = 0.6908
After round 202, test_loss = 1.1805, test_acc = 0.6859
After round 203, test_loss = 1.1672, test_acc = 0.6906
After round 204, test_loss = 1.1565, test_acc = 0.6967
After round 205, test_loss = 1.1535, test_acc = 0.7024
After round 206, test_loss = 1.153, test_acc = 0.6938
After round 207, test_loss = 1.1535, test_acc = 0.6875
After round 208, test_loss = 1.1533, test_acc = 0.6934
After round 209, test_loss = 1.1541, test_acc = 0.687
After round 210, test_loss = 1.157, test_acc = 0.6808
After round 211, test_loss = 1.1366, test_acc = 0.6931
