After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 121, test_loss = 0.3345, test_acc = 0.9094
After round 122, test_loss = 0.3341, test_acc = 0.9091
After round 123, test_loss = 0.3336, test_acc = 0.9096
After round 124, test_loss = 0.3332, test_acc = 0.9099
After round 125, test_loss = 0.3328, test_acc = 0.9098
After round 126, test_loss = 0.3325, test_acc = 0.9101
After round 127, test_loss = 0.332, test_acc = 0.9103
After round 128, test_loss = 0.3316, test_acc = 0.9103
After round 129, test_loss = 0.3314, test_acc = 0.9104
After round 130, test_loss = 0.3309, test_acc = 0.9101
After round 131, test_loss = 0.3306, test_acc = 0.9101
After round 132, test_loss = 0.3302, test_acc = 0.9106
After round 133, test_loss = 0.3298, test_acc = 0.9106
After round 134, test_loss = 0.3293, test_acc = 0.9103
After round 135, test_loss = 0.329, test_acc = 0.9097
After round 136, test_loss = 0.3288, test_acc = 0.91
After round 137, test_loss = 0.3284, test_acc = 0.9096
After round 138, test_loss = 0.3282, test_acc = 0.9101
After round 139, test_loss = 0.3278, test_acc = 0.9108
After round 140, test_loss = 0.3274, test_acc = 0.9111
After round 141, test_loss = 0.327, test_acc = 0.9109
After round 142, test_loss = 0.3267, test_acc = 0.9109
After round 143, test_loss = 0.3264, test_acc = 0.9108
After round 144, test_loss = 0.326, test_acc = 0.9112
After round 145, test_loss = 0.3258, test_acc = 0.9112
After round 146, test_loss = 0.3254, test_acc = 0.9113
After round 147, test_loss = 0.325, test_acc = 0.9111
After round 148, test_loss = 0.3246, test_acc = 0.9114
After round 149, test_loss = 0.3243, test_acc = 0.9115
After round 150, test_loss = 0.324, test_acc = 0.9116
After round 151, test_loss = 0.3236, test_acc = 0.9115
After round 152, test_loss = 0.3234, test_acc = 0.9117
After round 153, test_loss = 0.323, test_acc = 0.9119
After round 154, test_loss = 0.3227, test_acc = 0.9116
After round 155, test_loss = 0.3224, test_acc = 0.9119
After round 156, test_loss = 0.3221, test_acc = 0.9119
After round 157, test_loss = 0.3218, test_acc = 0.9118
After round 158, test_loss = 0.3216, test_acc = 0.9118
After round 159, test_loss = 0.3214, test_acc = 0.9116
After round 160, test_loss = 0.3211, test_acc = 0.9118
After round 161, test_loss = 0.3209, test_acc = 0.912
After round 162, test_loss = 0.3206, test_acc = 0.9118
After round 163, test_loss = 0.3203, test_acc = 0.9125
After round 164, test_loss = 0.3202, test_acc = 0.912
After round 165, test_loss = 0.32, test_acc = 0.9121
After round 166, test_loss = 0.3197, test_acc = 0.9121
After round 167, test_loss = 0.3195, test_acc = 0.9126
After round 168, test_loss = 0.3192, test_acc = 0.9128
After round 169, test_loss = 0.319, test_acc = 0.9129
After round 170, test_loss = 0.3188, test_acc = 0.9128
After round 171, test_loss = 0.3187, test_acc = 0.9124
After round 172, test_loss = 0.3185, test_acc = 0.9125
After round 173, test_loss = 0.3183, test_acc = 0.9123
After round 174, test_loss = 0.3181, test_acc = 0.9125
After round 175, test_loss = 0.3179, test_acc = 0.9126
After round 176, test_loss = 0.3176, test_acc = 0.9124
After round 177, test_loss = 0.3174, test_acc = 0.9124
After round 178, test_loss = 0.3173, test_acc = 0.9126
After round 179, test_loss = 0.3172, test_acc = 0.9118
After round 180, test_loss = 0.3168, test_acc = 0.9122
After round 181, test_loss = 0.3166, test_acc = 0.9128
After round 182, test_loss = 0.3164, test_acc = 0.913
After round 183, test_loss = 0.3162, test_acc = 0.9129
After round 184, test_loss = 0.316, test_acc = 0.9127
After round 185, test_loss = 0.3159, test_acc = 0.9125
After round 186, test_loss = 0.3157, test_acc = 0.913
After round 187, test_loss = 0.3156, test_acc = 0.9124
After round 188, test_loss = 0.3154, test_acc = 0.912
After round 189, test_loss = 0.3151, test_acc = 0.9127
After round 190, test_loss = 0.3148, test_acc = 0.9129
After round 191, test_loss = 0.3146, test_acc = 0.9131
After round 192, test_loss = 0.3145, test_acc = 0.9127
After round 193, test_loss = 0.3144, test_acc = 0.9123
After round 194, test_loss = 0.3142, test_acc = 0.9126
After round 195, test_loss = 0.314, test_acc = 0.9124
After round 196, test_loss = 0.3138, test_acc = 0.9129
After round 197, test_loss = 0.3136, test_acc = 0.9128
After round 198, test_loss = 0.3134, test_acc = 0.9129
After round 199, test_loss = 0.3133, test_acc = 0.9126
After round 200, test_loss = 0.3131, test_acc = 0.9129
